"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Projects\Penguine\penguine_core\src\app.cc", "C++", 27, 0, 0, 7, 34
"c:\Projects\Penguine\penguine_core\src\entity\tickable.cc", "C++", 3, 0, 0, 2, 5
"c:\Projects\Penguine\penguine_core\src\entity\viewable.cc", "C++", 3, 0, 0, 2, 5
"c:\Projects\Penguine\penguine_core\src\event.cc", "C++", 9, 0, 0, 3, 12
"c:\Projects\Penguine\penguine_core\src\impl\glad.c", "C", 0, 2, 0, 3, 5
"c:\Projects\Penguine\penguine_core\src\impl\rgfw.c", "C", 0, 4, 0, 0, 4
"c:\Projects\Penguine\penguine_core\src\main.cc", "C++", 15, 0, 0, 6, 21
"c:\Projects\Penguine\penguine_core\src\render\camera.cc", "C++", 8, 0, 0, 8, 16
"c:\Projects\Penguine\penguine_core\src\render\layer.cc", "C++", 12, 0, 0, 3, 15
"c:\Projects\Penguine\penguine_core\src\render\renderer.cc", "C++", 22, 0, 0, 4, 26
"c:\Projects\Penguine\penguine_core\src\render\shader.cc", "C++", 52, 0, 0, 15, 67
"c:\Projects\Penguine\penguine_core\src\resource.cc", "C++", 25, 0, 1, 11, 37
"c:\Projects\Penguine\penguine_core\src\scene.cc", "C++", 12, 0, 0, 3, 15
"c:\Projects\Penguine\penguine_core\src\window.cc", "C++", 26, 0, 0, 3, 29
"Total", "-", 214, 6, 1, 70, 291
